summary_item,value
분석 기간,2023-01-01 00:00:00 ~ 2024-12-31 23:00:00
공간 분석 대상 대여소,2847
최종 군집 수,3
군집 번호 기준,군집 중심 X좌표의 서쪽→동쪽 순서
Silhouette Score,0.4477945297062659
Calinski-Harabasz Score,3206.318610434818
Davies-Bouldin Score,0.8183274144818719
군집별 대여소 수,1172 / 844 / 831
군집별 수요 비중,47.358838% / 25.764632% / 26.876530%
전체 이용건수,88708877
군집별 시간 수,17544
군집별 시간대 수요 행 수,52632
시간축 완전성,COMPLETE
10m 이상 좌표 이동 대여소,38
좌표 이동 군집 변경 대여소,0
최소 최근접·차순위 중심 거리 차이,183.8156391081411
좌표 군집 안정성,STABLE
최종 검증 항목 수,87
최종 검증 실패 항목 수,0
최종 검증 결과,PASS
